B	eps
10.1035	0.000201309
10.1035	0.000201309
10.1035	0.000201309
10.1035	0.000201309
10.1035	0.000201309
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0972	-0.00146339
10.0933	-0.00181997
10.0933	-0.00181997
10.0933	-0.00181997
10.0933	-0.00181997
10.0933	-0.00181997
10.0933	-0.00181997
10.1006	-0.00115646
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.1018	6.67891e-06
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0957	-0.00195084
10.0955	-0.00359272
10.0955	-0.00359272
10.0955	-0.00359272
10.0955	-0.00359272
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.1012	-0.00396837
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.09	-0.00448731
10.0988	-0.00204258
10.0988	-0.00204258
10.0988	-0.00204258
10.0988	-0.00204258
10.0988	-0.00204258
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
10.097	-0.00275365
